ID,di_script,di_URL,Group (datasets of the same group are similar*),Project,Title (with Hyperlink),Description (in brief),Metadata URLs,Methodology (URL to methodology descriptions),Methodology (brief description),Accuracy,Completeness,Level,Spatial Granularity,Identifier,Identifier Type,Creator,Object,Publisher,Publication Date,Publication Year,Temporal Granularity,Time references (time data refers),URLs,Content (keywords),Origin,Geographical extension,Projection system,Access conditions,License,Terms of use,Availability,Resource type,Data format,"Size of file (raw, compressed in parentheses)",Other relevant information
1,getPVGIS.py,,A,N,PVGIS: Solar Radiation Data,"Solar radiation dataset consisting of the average irradiance over a time period, taking into account both day and night-time, measured in W/m2. Optimum angle data sets are measured in degrees from horizontal for a plane facing the equator.",https://ec.europa.eu/jrc/en/PVGIS/downloads/CMSAF,https://ec.europa.eu/jrc/en/PVGIS/docs/methods,"The first step in the calculation is to use the satellite images to estimate the influence of clouds on the solar radiation. Clouds tend to reflect the incoming sunlight so that less radiation arrives at the ground. In a second step the method calculates the solar radiation at clear sky conditions (i.e. no clouds) using the theory of radiative transfer in the atmosphere together with data on how much aerosols (dust, particles, etc.) there are in the atmosphere and the concentration of water vapour and ozone, both of which tend to absorb radiation at particular wavelengths. The total radiation is then calculated from the cloud albedo and the clear-sky irradiance. For further information, see the methodology documentation.",Data produced from the satellite images were checked against measurements at ground level: -14.0% to +11.0% difference between satellite and station.,Data derived from METEOSAT (https://meteostat.net/en) images which cover entirety of Europe.,Worldwide,Grid cell size: 1'30'' (0.025°),https://ec.europa.eu/jrc/en/PVGIS/downloads/CMSAF,Uniform Resource Locator (URL),Climate Monitoring Satellite Application Facility (CM SAF),Climate Monitoring Satellite Application Facility,Joint Research Centre,03/12/2019,2019,Non-longitudinal,2007-2016,https://ec.europa.eu/jrc/en/PVGIS/downloads/CMSAF,Solar radiation data - average irradiation - satellite data,METEOSAT satellite data and reanalysis-based solar radiation data from ECMWF ERA-5 and COSMO-REA.,"Extent: 65°01'30"" N, 35° S; 65° W, 65°01'30"" E ",EPSG:4326,Open - download,/,/,Available on the web,Dataset,ESRI ascii grid,1.40 GB (69.4 MB),/
2,getJRC_GEOPP_DB_csv.py,https://data.jrc.ec.europa.eu/dataset/jrc-10128-10001,A,N,JRC: Geothermal Power Plant Dataset,"Dataset of worldwide geothermal power plants including technological details (e.g. nameplate and running capacity, turbine type).",https://data.jrc.ec.europa.eu/dataset/jrc-10128-10001,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC113847/kjna29446enn_jrc113847.pdf,"The dataset contains all geothermal power plants that are in operation. Data are collected from various sources and then validated against 3 other datasets. For further information, see the methodology documentation.",Comparison of total installed capacity versus similar datasets: 0.3% difference vs Platts; 1.3% difference vs Think Geoenergy; 9.6% difference vs World Resources Institute (WRI).,"NULL values in 28.2% of cells, though most columns complete (lat/long, year, name, gross cap).",Worldwide,Lat/long precision range 4-6,http://data.europa.eu/89h/jrc-10128-10001,Uniform Resource Locator (URL),"Andreas Uihle, Joint Research Centre",JRC Geothermal Power Plant Dataset,Joint Research Centre,07/11/2018,2018,Non-longitudinal,Region-specific data sources range from 2010 to 2018,https://data.jrc.ec.europa.eu/dataset/jrc-10128-10001,Geothermal energy - power plant - renewables ,Data for Europe was mainly from the European Geothermal Energy Council (EGEC). Locations of power plants was manually retrieved. Information about the geothermal areas was adopted from the list of geothermal areas of OpenEI.,Worldwide,n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,88.7 KB,/
3,getJRC_hydro-power.py,https://raw.githubusercontent.com/energy-modelling-toolkit/hydro-power-database/master/data/,A,N,JRC: Hydro-power plants database,Dataset of European hydro plants with basic information on all the European hydro-power plants.,https://github.com/energy-modelling-toolkit/hydro-power-database/blob/master/README.md,https://github.com/energy-modelling-toolkit/hydro-power-database/blob/master/README.md,"The database has been built collecting the information from several other sources and then cross-checking and comparing in case of inconsistencies. For further information, see the methodology documentation.","Joint Research Centre (JRC) dataset: 1248 unique power plants, World Resources Institute (WRI) dataset: 1918 unique power plants","Blank values in 41.4% of cells, though most columns complete (lat/long, year, id, name, installed capacity)",EU27 + UK,Lat/long precision range 3-9,https://github.com/energy-modelling-toolkit/hydro-power-database/blob/master/data/jrc-hydro-power-plant-database.csv,Uniform Resource Locator (URL),"Matteo De Felice, Joint Research Centre, Konstantinos Kavvadias (Joint Research Centre)",JRC Hydro-power plants database,Joint Research Centre,08/07/2020,2020,Non-longitudinal,Varies by source used,https://github.com/energy-modelling-toolkit/hydro-power-database,Hydropower energy - system power - power plants,JRC Water-Energy-Food-Ecosystem Nexus project,EU27 + UK,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Comma-separated values (CSV) file,311 KB,/
4,getJRC-PPDB-OPEN.py,https://raw.githubusercontent.com/enermaps/JRC-PPDB-OPEN/master/,A,N,JRC: Open Power Plants Database,The Open Power Plants database contains locations of European power plants.,https://data.jrc.ec.europa.eu/dataset/9810feeb-f062-49cd-8e76-8d8cfd488a05,https://op.europa.eu/en/publication-detail/-/publication/7930ca56-adbf-11e9-9d01-01aa75ed71a1/language-en,"The linkage of available open sources (ENTSO-E, E-PRTR and other power plant databases) enabled the estimation of several performance parameters for a large part of the listed power plants. These are based on analysis of the generation time series provided in ENTSO-E's Transparency Platform, the CO_ emissions published by the European Environmental Agency's E-PRTR database, as well as the country specific carbon intensity of fuels in each country, published by the UNFCCC. For further information, see the methodology documentation","Joint Research Centre (JRC) dataset: 809 unique power plants, World Resources Institute (WRI) dataset: 2202 unique power plants",Blank values in 53.5% of cells and in 75% of lat/long columns (mainly Italy and Spain).,EU27 + UK,Lat/long precision range 2-5,http://data.europa.eu/89h/9810feeb-f062-49cd-8e76-8d8cfd488a05,Uniform Resource Locator (URL),"Hidalgo Gonzalez, Ignacio; Kanellopoulos, Konstantinos; De Felice, Matteo; Bocin, Andrei (Joint Research Centre) ",JRC Open Power Plants Database (JRC-PPDB-OPEN),Joint Research Centre,03/07/2019,2019,Non-longitudinal,Varies by source used,https://data.jrc.ec.europa.eu/dataset/9810feeb-f062-49cd-8e76-8d8cfd488a05,Energy - power plant,Joint Research Centre (JRC) Open Power Plants Database (JRC-PPDB-OPEN),EU27 + UK,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Comma-separated values (CSV) file,3.07 MB (1.23 MB),/
5,getEEA.py,,C,N,EEA: Share of gross final consumption of renewable energy sources,Approximated estimates for the share of gross final consumption of all renewable energy sources.,https://www.eea.europa.eu/data-and-maps/data/approximated-estimates-for-the-share-1,https://www.eea.europa.eu/publications/renewable-energy-in-europe-approximated,"The method used by the European Environment Agency (EEA) features a bottom-up calculation, including hundreds of calculations per Member State, using driving data to estimate GHG emissions. Most of the mathematical methods developed for this purpose can be abstracted from GHG calculations and adapted to estimated energy data. For further information, see the methodology documentation.",/,Dataset has no blank/missing values.,"EU27 + UK, Iceland, Norway",NUTS0,37c6b6ab43034427b5729b93ca624d31,Permalink,European Topic Centre for Air Pollution and Climate Change Mitigation,Approximated estimates for the share of gross final consumption of renewable energy sources in 2017 (EEA 2017 RES share proxies),European Environment Agency (EEA),19/12/2019,2018,Non-longitudinal,Varies by source used,https://www.eea.europa.eu/data-and-maps/data/approximated-estimates-for-the-share-1,Renewable energy shares - res proxies,European Environment Agency (EEA),"EU27 + UK, Iceland, Norway",n/a,Open - download,European Environmental Agency (EEA) standard re-use policy,/,Available on the web,Dataset,Comma-separated values (CSV) file,2.54 MB (1.30 MB),For further information on use of dataset please visit https://www.eea.europa.eu/legal/copyright
6,,,C,N,Energy consumption in households,Share of final energy consumption in the residential sector by type of end-use.,https://ec.europa.eu/eurostat/cache/metadata/en/nrg_quant_esms.htm,https://ec.europa.eu/eurostat/documents/3859598/5935825/KS-GQ-13-003-EN.PDF/baa96509-3f4b-4c7a-94dd-feb1a31c7291,"Energy consumption in households can be caclulated using a variety of methods, principally: business surveys, households surveys, administrative data, or modelling techniques. For further information, see the methodology documentation.","""The accuracy of the basic data depends on the quality of the national statistical systems and may vary from country to country.""",Missing values in 37.0% of cells.,EU27 + UK,NUTS0,nrg_d_hhq,European Statistical System,Statistical Office of the European Union (Eurostat),Energy consumption in households,Statistical Office of the European Union (Eurostat),28/04/2020,2020,Annual,2010-2018,https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=nrg_d_hhq&lang=en,Residential sector -  final energy consumption - gross inland energy consumption,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,52 KB,/
7,,,C,N,Actual Electricity Generation per Production Type,Actual aggregated net generation output (MW) per market time unit and per production type.,/,/,/,/,/,"EU27 + UK, Switzerland, Turkey, Serbia, Maldova, Albania, Belarus, Norway, North Macedonia, Montenegro",NUTS0,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Uniform Resource Locator (URL),European Network of Transmission System Operators for Electricity (ENTSO-E),Actual Generation per Production Type,European Network of Transmission System Operators for Electricity (ENTSO-E),2020,2020,Hourly,2014-2020,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Electricity generation,Transmission system operators (TSOs) or other Data Provider of information depending on local organisation.,"EU27 + UK, Switzerland, Turkey, Serbia, Maldova, Albania, Belarus, Norway, North Macedonia, Montenegro",n/a,Open - download,/,Data can be freely re-used with no need to seek for the prior agreement of the respective Primary Owner of Data,Available on the web (login required),Dataset,Microsoft Excel (XLSX) file,5.03 MB,For further information on use of dataset please visit https://transparency.entsoe.eu/content/static_content/Static%20content/terms%20and%20conditions/terms%20and%20conditions.html
8,,,F,N,Eurostat: Population,GEOSTAT 1km2 population grid containing population estimates per 1km x 1km grid cell.,https://ec.europa.eu/eurostat/cache/metadata/en/cens_11r_esmscs.htm,https://ec.europa.eu/eurostat/documents/3859598/5916677/KS-RA-11-006-EN.PDF/5bec0655-4a55-466d-9a00-fabe83d54649?version=1.0,"EU Member States use different methods that they consider to be best suited to the administrative practices and traditions of their country. The EU then uses an output-oriented harmonisation of the collected data. For further information, see the methodology documentation.",Difference between grid data totals (integers) and totals from official statistics ranges from 10 to 1146 people based on country,Dataset has no blank/missing values.,EU27 + UK,1km x 1km,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/population-distribution-demography/geostat,European Statistical System,Statistical Office of the European Union (Eurostat),GEOSTAT population distribution,Statistical Office of the European Union (Eurostat),01/01/2016,2016,Non-longitudinal,2011,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/population-distribution-demography/geostat,Population,Eurostat,EU27 + UK,n/a,Open - download,/,"Users may freely copy, publish and distribute the GEOSTAT 2011 grid dataset within their own organisation.",Available on the web,Dataset,Comma-separated values (CSV) file,888 MB (57.3 MB),"The different, specific licencensing conditions for: GEOSTAT, Clusters, DEGURBA https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/population-distribution-demography"
9,,,D,N,Eurostat: Degree days,Heating and cooling degree days (monthly and annual).,https://ec.europa.eu/eurostat/cache/metadata/en/nrg_chdd_esms.htm#stat_process1554283803348,https://ec.europa.eu/eurostat/cache/metadata/en/nrg_chdd_esms.htm#stat_process1554283803348,"Heating Degree Days (HDD) index:  the severity of the cold in a specific time period taking into consideration outdoor temperature and average room temperature (in other words the need for heating). The calculation of HDD relies on the base temperature, defined as the lowest daily mean air temperature not leading to indoor heating. The value of the base temperature depends in principle on several factors associated with the building and the surrounding environment. By using a general climatological approach, the base temperature is set to a constant value of 15°C in the HDD calculation. Cooling degree days (CDD) index:  the severity of the heat in a specific time period taking into consideration outdoor temperature and average room temperature (in other words the need for cooling). The calculation of CDD relies on the base temperature, defined as the highest daily mean air temperature not leading to indoor cooling. The value of the base temperature depends in principle on several factors associated with the building and the surrounding environment. By using a general climatological approach, the base temperature is set to a constant value of 24°C in the CDD calculation. For further information, see the methodology documentation.",/,Dataset has no blank/missing values.,EU27 + UK,NUTS2,nrg_chddr2_m,European Statistical System,Statistical Office of the European Union (Eurostat),Cooling and heating degree days by country - annual data,Statistical Office of the European Union (Eurostat),27/02/2020,2020,Annual,1975-2018,https://ec.europa.eu/eurostat/web/energy/data/database,Heating - cooling,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Tab-separated values (TSV) file,993 KB (345 KB),/
10,,,C,Y (COMBI),COMBI: Annualised net present value of energy efficiency improvement actions,"COMBI provides estimates of the major multiple impacts of the energy efficiency potential that goes beyond an existing policies scenario in the year 2030. Impacts are quantified by EU member state and by single energy efficiency improvement (EEI) action. Therefore, detailed input data on energy savings and investment costs are necessary: COMBI uses detailed stock models to this end. The COMBI input data modelling exercise produced a baseline scenario (based on existing EU legislation) and an efficiency scenario (based on ambitious assumptions on technology implementation following more ambitious policies), resembling the EUCO+33 scenario of the EU EED impact assessment.",/,https://combi-project.eu/wp-content/uploads/D8.1_tool-guide.pdf,"Annualised net value of actions were calculated based on selected actions and countries, annualised investments (annuisation based on selected discount rate), and selected annual impacts. Negative values imply costs of energy efficiency improvement (EEI) actions, positive values gains of EEI actions.",/,Dataset has no blank/missing values,EU27 + UK,NUTS0,https://combi-project.eu/charts/,Uniform Resource Locator (URL),"Thema, Johannes; Thomas, Stefan; Teubler, Jens; Chatterjee, Souran; Bouzarovski, Stefan; Mzavanadze, Nora; Suerkemper, Felix; Couder, Johan; Ürge-Vorsatz, Diana; von Below, David",COMBI Online Tool,COMBI,2018,2018,Non-longitudinal,2030,https://combi-project.eu/charts/,Energy savings - energy efficiency,COMBI project,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,18.5 KB,/
11,getSETIS.py,https://raw.githubusercontent.com/enermaps/datasets/main/SETIS/,E,N,SETIS: Private R&I investment in energy technologies,Integrated Strategic Energy Technology Plan Communication for each Member State on the level of investment in R&I from the private sector (expenditure by businesses and industry).,/,https://setis.ec.europa.eu/sites/default/files/reports/monitoring_r_and_i_in_low-carbon_technologies.pdf,"The technology coverage follows the integrated SET Plan structure, showing the links between the Energy Union R&I and Competitiveness priorities, the SET Plan Integrated Roadmap and the 10 SET Plan actions.
Trends in patents: The data source is PATSTAT, the Worldwide Patent Statistical Database created and maintained by the European Patent Office (EPO).
Private R&I investments: Data are estimated based on financial information from publicly available company statements and patent data from PATSTAT.
Public (national) R&I investments: The International Energy Agency (IEA) statistics are the main source of data. For further information, see the methodology documentation.","""The SETIS estimations of private R&I are a metric aimed
at enabling relative comparisons over time, rather than an accurate account of private
investment figures""",Numerous missing  values,EU27 + UK,NUTS0,http://data.europa.eu/89h/jrc-10115-10001,Uniform Resource Locator (URL),"Pasimeni, Francesco; Fiorini, Alessandro; Georgakaki, Aliki; Marmier, Alain; Jimenez Navarro, Juan Pablo; Asensio Bermejo, Jose Miguel (Joint Research Centre)",Private research and innovation (R&I) investment in energy technologies,Joint Research Centre,16/07/2018,2018,Annual,2010-2016,https://setis.ec.europa.eu/publications/setis-research-innovation-data,Research and innovation (R&I) - investment - energy technology,"Joint Research Centre ""Monitoring R&I in Low-Carbon Energy Technologies""",EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,555 KB,/
12,,,E,N,CORDIS EU research projects under Horizon 2020,This dataset contains projects and related organisations funded by the European Union under the Horizon 2020 framework programme for research and innovation from 2014 to 2020.,https://data.europa.eu/euodp/en/data/dataset/cordisH2020projects/resource/010f269b-9ee3-45a0-afea-c43aa1ef61ac,/,Information from projects and related organisations funded by the European Union under the Horizon 2020 framework programme for research and innovation are collected and amalgamated monthly.,/,Certain fields have missing values,EU27 + UK,NUTS0,https://data.europa.eu/euodp/en/data/dataset/cordisH2020projects/resource/010f269b-9ee3-45a0-afea-c43aa1ef61ac,Uniform Resource Locator (URL),European Commission,CORDIS - EU research projects under Horizon 2020 (2014-2020) ,European Commission Publications Office,10/12/2018,2018,Non-longitudinal,2014-2020,https://data.europa.eu/euodp/en/data/dataset/cordisH2020projects,Horizon 2020 - EU research projects,Community Research and Development Information Service (CORDIS),EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,28.3 MB,/
13,,,E,N,IEA Summary Country RD&D Budgets,Summary country RD&D budgets containing total public energy RD&D expenditure data from the IEA’s Energy Technology RD&D Budget Database.,/,https://iea.blob.core.windows.net/assets/3432ae79-1645-4cf1-a415-faa3588e6f29/RDDManual.pdf,Budgets are collected through questionnaires and surveys issued by the International Energy Agency to nations.,/,/,EU27 + UK,NUTS0,https://www.iea.org/subscribe-to-data-services/energy-technology-rdd,Uniform Resource Locator (URL),International Energy Agency (IEA),Estimated RD&D Budgets by Region,International Energy Agency (IEA),2020,2020,Annual,1974-2019,https://www.iea.org/subscribe-to-data-services/energy-technology-rdd,"Research, Design, and Development (RD&D) budgets",International Energy Agency (IEA),EU27 + UK,n/a,Open - download,Beyond 20/20 License Agreement,/,Available on the web (login required),Dataset,Microsoft Excel (XLSX) file,1.63 MB,"Guest login for IEA Online Data Services Payment System, no information or payment information needed"
14,getPANGAEA.py,https://doi.pangaea.de/10.1594/PANGAEA.898014,D,Y (Energy A),Climate Extreme Indices,"71 core and non-core climate extreme indices (CEIs) based on the Expert Team on Climate Change Detection and Indices (ETCCDI), and the Expert Team on Sector-specific Climate Indices (ET-SCI). ",/,/,/,/,/,Worldwide,0.25 degree by 0.25 degree,https://doi.org/10.1594/PANGAEA.898014,Digital Object Identifier (DOI),"Mistry, M.N.",Climate Extreme Indices,PANGAEA,13/03/2019,2019,Annual,1970-2016,https://doi.pangaea.de/10.1594/PANGAEA.898014,Climate,Energy A project,Worldwide,/,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,NetCDF file,83.9 GB,/
