ID,di_script,di_URL,Group (datasets of the same group are similar*),Project,Title (with Hyperlink),Description (in brief),Metadata URLs,Methodology (URL to methodology descriptions),Methodology (brief description),Accuracy,Completeness,Level,Spatial Granularity,Identifier,Identifier Type,Creator,Object,Publisher,Publication Date,Publication Year,Temporal Granularity,Time references (time data refers),URLs,Content (keywords),Origin,Geographical extension,Projection system,Access conditions,License,Terms of use,Availability,Resource type,Data format,"Size of file (raw, compressed in parentheses)",Other relevant information
31,getHotMaps_raster.py,https://gitlab.com/hotmaps/potential/potential_geothermal_raster/-/raw/master/,A,Y (INTERREG GRETA),INTERREG GRETA,Financial and economic data of Near SurFace Geothermal Energy in Central Europe.,https://gitlab.com/hotmaps/potential/potential_geothermal_raster/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/potential/potential_geothermal_raster/-/blob/master/README.md,/,/,/,EU27 + UK,NUTS3,https://gitlab.com/hotmaps/potential/potential_geothermal_raster,Uniform Resource Locator (URL),GRETA consortium,potential_geothermal_raster,GRETA,20/05/2019,2019,Non-longitudinal,2013,https://gitlab.com/hotmaps/potential/potential_geothermal_raster,Geothermal energy,INTERREG GRETA project,EU27 + UK,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,90.8 MB (46.1 MB),/
32,,,A,Y (INTERREG recharge green),INTERREG recharge green,Renewable energy source potential in central Europe.,/,/,/,Dataset not available for download,Dataset has no blank/missing values,"Austria, Switzerland, Germany, France, Italy, Liechtenstein, Slovenia",NUTS3,/,/,recharge green consortium,/,recharge green,/,/,/,/,/,Renewable energy sources,INTERREG recharge green project,"Austria, Switzerland, Germany, France, Italy, Liechtenstein, Slovenia",n/a,Closed - not available,/,/,Not available for download,Dataset,Microsoft Excel (XLSX) file,128 KB,/
33,,,D,N,Building Height,A 10m high resolution raster layer containing height information is generated for core urban areas of capitals of the 39 European Environmental Agency nations (EEA39) as part of the Urban atlas. ,https://land.copernicus.eu/local/urban-atlas/building-height-2012?tab=metadata,/,/,/,/,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom",10 m resolution,https://land.copernicus.eu/local/urban-atlas/building-height-2012?tab=download,Uniform Resource Locator (URL),European Environment Agency,Building Height 2012,Copernicus Climate Change Service,19/03/2020,2020,Non-longitudinal,2011-2014,https://land.copernicus.eu/local/urban-atlas/building-height-2012?tab=download,Elevation - digital height model - building height,Copernicus programme,"Bounding box: West = -22.131016, East = 33.481341, North = 64.380351, South = 35.068531",EPSG:3035,Open - download,/,/,Available on the web,Dataset,GEOTIFF file,68.6 MB,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R1159
34,,,A,N,IEA SHC Task 45: Large Solar Heating and Cooling Systems,A database with detailed descriptions of large solar heating and cooling systems from all over the world.,/,https://www.iea-shc.org/Data/Sites/1/publications/IEA-SHC-T45.C.1-TECH-Categorization-of-large-systems1.pdf,/,/,/,Worldwide,NUTS0,https://task45.iea-shc.org/system-database,Uniform Resource Locator (URL),"Sabine Putz, S.O.L.I.D.",Databases for Large Solar Heating and Cooling Systems,IEA Solar Heating and Cooling Programme,2014,2014,Annual,1985-2014,https://task45.iea-shc.org/system-database,Solar heating - solar cooling,IEA Solar Heating and Cooling Programme ,Worldwide,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,3.15 MB,/
35,,,D,N,European Settlement Map,The European Settlement Map is a spatial raster dataset that is mapping human settlements in Europe based on Copernicus Very High Resolution optical coverage.,https://land.copernicus.eu/pan-european/GHSL/european-settlement-map/esm-2012-release-2017-urban-green?tab=metadata,https://ec.europa.eu/jrc/en/publication/european-settlement-map-2017-release-methodology-and-output-european-settlement-map-esm2p5m,/,/,/,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom",2.5 m resolution,https://land.copernicus.eu/pan-european/GHSL/european-settlement-map/esm-2012-release-2017-urban-green?tab=download,Uniform Resource Locator (URL),Joint Research Centre,ESM 2012 - Release 2017,Copernicus Climate Change Service,09/11/2017,2017,Non-longitudinal,2010-2013,https://land.copernicus.eu/pan-european/GHSL/european-settlement-map/esm-2012-release-2017-urban-green?tab=download,European Settlement Map - land,"Insitute for Protection and Security of the Citizen, Joint Research Centre","Bounding box: West = 844000, East = 842000, North = 7344000, South = 5442000",EPSG:3035,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,108 GB,/
36,,,B,Y (TABULA),TABULA: Building typology data,Building typology data,/,https://episcope.eu/building-typology/overview/,/,"Accuracy is split into 3 levels (A, B, and C), based on whether the data is determined by the whole building stock, a large number of example buildings, or is estimated based on a few example buildings.",Not all building types represented for each region.,"Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",/,http://webtool.building-typology.eu/#bm,Uniform Resource Locator (URL),TABULA project consortium,TABULA WebTool,EPISCOPE,06/11/2017,2017,Non-longitudinal,1899-2016,http://webtool.building-typology.eu/#bm,Building typology,Intelligent Energy Europe,"Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,32.7 MB,/
37,,,B,Y (EPISCOPE),EPISCOPE: Case study scenario analyses,"The EPISCOPE project focused on the energy refurbishment of houses in 20 European countries. Among the collected information, data regarding the construction period (different classes are defined in each country) and the building type (single-family, terraced house, multi-family house and apartment block) may be useful for risk assessment of large geographic areas.",/,https://episcope.eu/monitoring/average-buildings/,/,"According to the EPISCOPE Synthesis Report SR4, quality data was not available for all countries. The accuracy of the data used may be varied based on how the data was obtained.","Datasets have no blank/missing values. EPISCOPE Synthesis Report SR4 describes the lack of empirical primary data, including the ""wide information gaps concerning the actual state as well as the trends of building thermal insulation and efficient / renewable heating systems""","Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",/,https://episcope.eu/communication/download/,Uniform Resource Locator (URL),EPISCOPE project consortium,TABULA WebTool,EPISCOPE,31/03/2016,2016,Non-longitudinal,2012/2020/2030/2050,https://episcope.eu/communication/download/,Building stock - energy efficiency,Intelligent Energy Europe,"Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,9.52 MB,/
38,,,B,Y (ODYSSEE-MURE),ODYSSEE: Gross inland consumption (non-energy uses included),"Building stock data including floor area of dwellings, consumption by source, and stock of appliances and dwelling.",/,https://www.odyssee-mure.eu/faq/energy-efficiency-methodology/,"ODYSSEE data are collected by national partners and checked and harmonized by Enerdata. For further information, see the methodology documentation.
",/,Data complete until 2017 (dataset checked: gross inland consumption -- non-energy uses included),EU27 + UK,NUTS0,https://odyssee.enerdata.net/database/,Uniform Resource Locator (URL),Enerdata,Odyssee database - January 2020,Odyssee,2020,2020,Annual,2010-2018,https://www.odyssee-mure.eu/private/,Building stock - energy efficiency,Enerdata,"EU27 + UK, Norway, Serbia, Switzerland",n/a,Limited access,/,/,Reserved to EU universities and research centres for non-commercial uses,Dataset,Microsoft Excel (XLSX) file,11.7 KB,/
39,,,B,Y (ENTRANZE),ENTRANZE: Average size of dwelling in residential sector,"Building stock data including floor area of residential and non-residential buildings, heating/AC system data, and energy use by sector.",/,/,"Entranze includes data collected from numerous sources--including Odyssee, Building Performance Institute Europe, Tabula, and Eurostat--and and presents them in an online data mapping tool. ",/,Data missing for Croatia and Cyprus (dataset checked: average size of dwelling by type),"EU27 + UK, Serbia",NUTS0,https://entranze.enerdata.net/share-of-dwellings-connected-to-district-heating.html,Uniform Resource Locator (URL),ENTRANZE project consortium,ENTRANZE project database,ENTRANZE,2013,2013,Non-longitudinal,2008,https://entranze.enerdata.net/#/share-of-dwellings-connected-to-district-heating.html,Building stock - energy efficiency,Enerdata,"EU27 + UK, Serbia",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,15.0 KB,/
40,,,B,Y (CommONEnergy),CommONEnergy: Total floor area of the non-residential building sector,Building stock data including building sector data and final energy demand data for non-residential buildings.,/,/,"The data is built on existing studies and surveys from statistical offices, currently on-going projects on national and European level as well as on the calculations carried out as part of the abovementioned analysis of the commercial building stock at EU level. The scenario development was carried out using the abovementioned data and calculated using a bottom-up approach. ",/,Dataset has no blank/missing values,"EU27 + UK, Norway",NUTS0,https://eeg.tuwien.ac.at/commonenergy/floor-area-non-residential,Uniform Resource Locator (URL),Vienna University of Technology Energy Economics Group (EEG),CommONEnergy Data Mapper,CommONEnergy,2017,2017,Non-longitudinal,2012/2030,https://eeg.tuwien.ac.at/commonenergy/floor-area-non-residential,Building stock - energy efficiency,Vienna University of Technology Energy Economics Group (EEG),"EU27 + UK, Norway",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,10.3 KB,/
41, ,,B,Y (Zebra2020),Zebra2020: Share of new dwellings in residential stock,Building stock data including data for energy efficiency trends in buildings as well as data for net zero energy buildings.,/,/,"Data in the Zebra2020 Data Tool are gathered from a variety of national sources, including Statistik Austria for Austrian data, Istat for Italian data, and the Direction générale Statistique et Information écon for French data",Each country has differing source which could affect comparability between countries.,Missing data present (difficult to estimate given structure of data),"Austria, Belgium, Denmark, Spain, France, United Kingdom, Italy, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Czechia, Germany, Romania, Slovakia, Sweden",NUTS0,https://zebra-monitoring.enerdata.net/overall-building-activities/share-of-new-dwellings-in-residential-stock.html,Uniform Resource Locator (URL),Zebra2020 project consortium,Energy efficiency trends in building ,Enerdata,2015,2015,Annual,2010-2014,https://zebra-monitoring.enerdata.net/overall-building-activities/share-of-new-dwellings-in-residential-stock.html,Building stock - energy efficiency,Enerdata,"Austria, Belgium, Denmark, Spain, France, United Kingdom, Italy, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Czechia, Germany, Romania, Slovakia, Sweden",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,11.0 KB,/
42,,,B,N,National Housing Census: type of living quarter by country,The National Housing Census contains socioeconomic data as well as building stock data including type and size of housing,https://ec.europa.eu/eurostat/cache/metadata/en/cens_11r_esmscs.htm,/,Data in the National Housing Census are taken from national sources which use a variety of techniques to gather data (i.e. surveys).,/,Missing values in <0.5% of cells (for type of living quarter by country),EU27 + UK,NUTS0,cens_11r,European Statistical System,Statistical Office of the European Union (Eurostat),National Housing Census,Statistical Office of the European Union (Eurostat),2014,2014,Non-longitudinal,2011,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&countrycode=en&clearSession=true,Housing data - socioeconomic data,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,6.18 KB,/
43,getHotMaps_raster.py,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/raw/master/,B,Y (HotMaps),HotMaps: Heat demand density,This dataset shows the final energy demand for heating and hot water of buildings in EU28 on hectare (ha) level.,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/blob/master/README.md,/,/,/,"EU27 + UK, Switzerland, Norway, Iceland",100m x 100m,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/tree/master/data,Uniform Resource Locator (URL),"Andreas Mueller, Mostafa Fallahnejad, TU Wien Institute of Energy Systems and Electrical Drives","Heat density map (final energy demand for heating and DHW) of buildings in EU28 + Switzerland, Norway and Iceland for the year 2015",HotMaps,10/08/2020,2020,Non-longitudinal,2015,https://gitlab.com/hotmaps/heat/heat_tot_curr_density,Building stock - heat density,Horizon 2020 HotMapsproject,"EU27 + UK, Switzerland, Norway, Iceland",n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,128 MB,/
44,,,C,Y (ECHOES),ECHOES: International survey on energy-related choices and behaviour,ECHOES stands for “Energy CHOices supporting the Energy Union and the SET-Plan”. It is an EU funded research project that provides deeper understanding on individual and collective energy-related choices and behaviour. The international survey of the ECHOES project is a large survey dataset than contains responses from 31 countries: EU-28 (2018) + 3 countries.,https://zenodo.org/record/3524917#.X7RkzMhKg2w,/,/,/,/,n/a,n/a,10.5281/zenodo.3524917,Digital Object Identifier (DOI),"Reichl, Johannes; Cohen, Jed; Kollmann, Andrea; Azarova, Valeria; Klöckner, Christian; Royrvik, Jens; Vesely, Stepan; Carrus, Giuseppe; Panno, Angelo; Tiberio, Lorenza; Fritsche, Immo; Masson, Torsten; Chokrai, Parissa; Lettmayer, Gudrun; Schwarzinger, Stephan; Bird, Neil, ECHOES project",International survey of the ECHOES project,ECHOES,01/11/2019,2019,Non-longitudinal,2018,https://zenodo.org/record/3524917#.X7RkzMhKg2w,Behaviour - energy-related choices,ECHOES project,n/a,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,56.0 MB (16.7 MB),/
45,getHotMaps_raster.py,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/raw/master/,B,Y (HotMaps),HotMaps: Heated gross floor area density,This dataset shows the residential and non-residential gross floor area in EU28 on hectare (ha) level.,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/blob/master/README.md,/,/,/,"EU27 + UK, Switzerland, Norway, Iceland",100m x 100m,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/tree/master/data,Uniform Resource Locator (URL),"Andreas Mueller, TU Wien Institute of Energy Systems and Electrical Drives","Heated gross floor area density map of buildings in EU28 + Switzerland, Norway and Iceland for the year 2015",HotMaps,10/08/2020,2020,Non-longitudinal,2015,https://gitlab.com/hotmaps/gfa_tot_curr_density,Building stock - gross floor area density,Horizon 2020 HotMapsproject,"EU27 + UK, Switzerland, Norway, Iceland",n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,197 MB,/
46,,,D,N,OECD: Greenhouse gas emissions,This dataset presents trends in man-made emissions of major greenhouse gases and emissions by gas.,/,/,"The data is derived from the National Inventory Submissions 2020  to the United Nations Framework Convention on Climate Change (UNFCCC, CRF tables), and replies to the OECD State of the Environment Questionnaire.",/,/,EU27 + UK,NUTS0,https://stats.oecd.org/Index.aspx?DataSetCode=AIR_GHG#,Uniform Resource Locator (URL),Organisation for Economic Co-operation and Development (OECD),National Inventory Submissions 2019  to the United Nations Framework Convention on Climate Change,Organisation for Economic Co-operation and Development (OECD),2019,2019,Annual,1990-2017,https://stats.oecd.org/Index.aspx?DataSetCode=AIR_GHG#,CO_ emissions,United Nations Framework Convention on Climate Change,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,7.66 KB,/
47,,,F,N,Electricity prices for household consumers,Electricity prices for household consumers - bi-annual data (from 2007 onwards),https://ec.europa.eu/eurostat/cache/metadata/en/nrg_pc_204_esms.htm,https://ec.europa.eu/eurostat/documents/3859598/8048500/KS-GQ-16-106-N.pdf/8d9a943f-b0da-4ac9-bc62-251458d0f498,"Electricity prices are collected by a half-yearly questionnaire on electricity prices for households. For further information, see the methodology documentation.",(For 2007 and onward data) the published prices are based on real invoiced prices that are paid by end-users ,For cost of electrical energy per kWh in Euros: missing data in 4.3% of cells,"EU27 + UK plus Iceland, Liechtenstein, Norway, Montenegro, North Macedonia, Albania, Serbia, Turkey, Bosnia and Herzegovina, Kosovo, Moldova, Ukraine, Georgia",NUTS0,nrg_pc_204,European Statistical System,Statistical Office of the European Union (Eurostat),Electricity prices for household consumers - bi-annual data (from 2007 onwards) ,Statistical Office of the European Union (Eurostat),28/04/2020,2020,Bi-annual,bi-annual data (from 2007 onwards),https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=nrg_pc_204&lang=en,Electricity prices,Eurostat,"EU27 + UK plus Iceland, Liechtenstein, Norway, Montenegro, North Macedonia, Albania, Serbia, Turkey, Bosnia and Herzegovina, Kosovo, Moldova, Ukraine, Georgia",n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,103 KB,/
48,,,F,N,Expenditure per household on energy,"Mean consumption expenditure per household on electricity, gas, and other fuels.",https://ec.europa.eu/eurostat/cache/metadata/en/nama10_esms.htm,/,In summary the key concepts captured by the national accounts main aggregates datasets cover the following definitions: GDP - Gross domestic product. GDP at market prices is the final result of the production activity of resident producer units  It is defined in three ways: 1. GDP Output approach; 2. GDP Expenditure approach; 3. GDP Income approach.,/,For current prices: missing data in 9.5% of cells,"EU27 + UK plus Iceland, Montenegro, North Macedonia, Norway, Switzerland, Albania, Serbia, Turkey, Bosnia and Herzegovina, and Kosovo",NUTS0,nama_10_co3_p3,European Statistical System,Statistical Office of the European Union (Eurostat),Final consumption expenditure of households by consumption purpose (COICOP 3 digit) ,Statistical Office of the European Union (Eurostat),01/09/2020,2020,Annual,2010-2019,https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=nama_10_co3_p3&lang=en,Expenditure on energy,Eurostat,"EU27 + UK plus Iceland, Montenegro, North Macedonia, Norway, Switzerland, Albania, Serbia, Turkey, Bosnia and Herzegovina, and Kosovo",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,38.5 KB,/
49,,,F,N,Energy dependence,The indicator shows the extent to which an economy relies upon imports in order to meet its energy needs. It is calculated as net imports divided by the gross available energy.,https://ec.europa.eu/eurostat/cache/metadata/EN/t2020_rd320_esmsip2.htm,https://ec.europa.eu/eurostat/documents/3859598/5935825/KS-GQ-13-003-EN.PDF/baa96509-3f4b-4c7a-94dd-feb1a31c7291,"Various statistical techniques are used to measure household energy use and energy dependence, including: business surveys, households surveys, use of administrative data, modelling, and in situ measurements. For further information, see the methodology documentation.","""Quantitative assessment of accuracy was not performed by Eurostat""",Missing values in 3.3% of cells,"EU27 + UK plus Iceland, Montenegro, North Macedonia, Norway, Albania, Serbia, Turkey, Bosnia and Herzegovina, and Kosovo",NUTS0,t2020_rd320,European Statistical System,Statistical Office of the European Union (Eurostat),Energy dependence,Statistical Office of the European Union (Eurostat),17/08/2018,2018,Annual,1990-2018,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=t2020_rd320&plugin=1,Energy imports - net imports - gross available energy,Eurostat,"EU27 + UK plus Iceland, Montenegro, North Macedonia, Norway, Albania, Serbia, Turkey, Bosnia and Herzegovina, and Kosovo",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,44.0 KB,/
50,,,F,N,Regional GDP,GDP expressed in PPS (purchasing power standards) eliminates differences in price levels between countries. Calculations on a per inhabitant basis allow for the comparison of economies and regions significantly different in absolute size. GDP per inhabitant in PPS is the key variable for determining the eligibility of NUTS 2 regions in the framework of the European Union's structural policy.,https://ec.europa.eu/eurostat/cache/metadata/en/reg_eco10_esms.htm,https://ec.europa.eu/eurostat/documents/3859598/5937641/KS-GQ-13-001-EN.PDF/7114fba9-1a3f-43df-b028-e97232b6bac5,"Regional GDP is valued at market prices by adding the regionalised taxes less subsidies on products and imports, and the Value Added Tax (VAT), to regional gross value added (GVA) at basic prices. For further information, see the methodology documentation.",/,Missing values in 6.6% of cells,EU27 + UK,NUTS2,tgs00004,European Statistical System,Statistical Office of the European Union (Eurostat),Regional gross domestic product (million PPS) by NUTS 2 regions,Statistical Office of the European Union (Eurostat),10/07/2020,2020,Annual,2007-2018,https://ec.europa.eu/eurostat/web/products-datasets/-/tgs00004,Gross domestic product - economic statistics - regional statistics,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Tab-separated values (TSV) file,42.2 KB (18.4 KB),/
